magaza,magaza_tipi,tedarikci,tipik_gunluk_talep_adet,stok_toplam_adet,kalan_raf_omru_gun,stok_gun_karsiligi,tukenme_gun_taban_p50,fire_taban_p50,stoksuz_taban_p50,kacan_kar_taban_p50,tukenme_gun_taban_p90,fire_taban_p90,stoksuz_taban_p90,kacan_kar_taban_p90,tukenme_gun_politika_p50,fire_politika_p50,stoksuz_politika_p50,kacan_kar_politika_p50,tukenme_gun_politika_p10,fire_politika_p10,stoksuz_politika_p10,kacan_kar_politika_p10,tukenme_gun_politika_p90,fire_politika_p90,stoksuz_politika_p90,kacan_kar_politika_p90,siparis_toplam,siparis_sayisi,net_kazanc_eur,aciliyet,onay_kritik_stok,onay_fire_riski,onay_belirsiz,max_siparis_tutar_eur,onay_yuksek_tutar,onay_gerekli,onay_sebep
51,a,Rheinland,161.2,222.7,2,1.38,3,50.0,3940.2,7880.4,3,13.6,4488.3,8976.9,3,50.0,1025.8,2051.7,3,146.2,673.4,1346.9,3,13.6,1574.2,3148.2,2914.4,8,5828.7,yuksek,0,0,0,2644.2,0,0,yok
52,d,Nordmann,180.7,210.1,1,1.16,3,58.7,3805.9,7611.9,3,27.6,4329.0,8657.9,3,58.7,616.8,1233.7,3,197.2,368.1,736.2,3,27.6,1139.8,2279.6,3189.1,17,6378.2,yuksek,0,1,0,2044.8,0,1,fire_riski
53,a,Rheinland,126.5,41.8,2,0.33,1,0.0,3034.1,6068.1,1,0.0,3440.0,6879.9,1,39.0,766.7,1533.4,1,147.6,574.8,1149.6,1,0.8,1134.4,2268.8,2306.5,8,4300.7,kritik,1,0,0,1977.6,0,1,kritik_stok
54,d,Schnellware,190.9,292.7,1,1.53,3,0.0,4305.7,8611.5,3,0.0,5021.7,10043.2,4,0.0,236.3,472.6,11,150.6,60.3,120.7,4,0.0,915.2,1830.4,4069.6,12,8138.9,yuksek,0,0,0,2779.8,0,0,yok
55,a,Schnellware,107.7,101.9,3,0.95,3,0.0,2849.8,5699.6,1,0.0,3245.7,6491.2,4,0.0,162.7,325.7,11,84.5,17.4,34.7,1,0.0,543.4,1087.1,2687.0,12,5373.9,kritik,1,0,1,1897.8,0,1,kritik_stok|belirsiz
56,d,Rheinland,175.6,42.0,2,0.24,1,0.0,4898.4,9796.7,1,0.0,5563.2,11126.6,1,0.0,1376.5,2753.2,1,97.9,946.7,1893.4,1,0.0,2041.5,4083.1,3521.8,8,7043.5,kritik,1,0,0,3175.8,0,1,kritik_stok
57,d,Schnellware,255.1,294.8,1,1.16,3,0.0,4962.7,9925.7,3,0.0,5795.6,11590.8,4,0.0,334.7,669.1,11,174.6,54.1,108.2,4,0.0,1129.3,2258.5,4628.3,12,9256.6,yuksek,0,0,0,3379.8,0,0,yok
58,a,Schnellware,151.0,311.1,1,2.06,3,0.0,3804.8,7609.8,3,0.0,4341.6,8683.1,4,0.0,192.2,384.6,4,150.9,44.6,89.4,4,0.0,695.0,1390.0,3612.7,12,7225.2,yuksek,0,1,0,2646.0,0,1,fire_riski
59,a,Schnellware,128.6,25.7,1,0.2,1,0.0,3182.0,6363.7,1,0.0,3646.3,7292.4,1,0.0,250.5,501.1,1,97.6,66.8,133.5,1,0.0,714.8,1429.9,2931.1,12,5862.6,kritik,1,0,0,2062.2,0,1,kritik_stok
60,d,Nordmann,188.3,564.8,1,3.0,4,213.8,4608.5,9217.1,4,155.8,5172.8,10345.2,4,213.8,620.0,1239.8,4,391.5,333.3,666.6,4,155.8,1184.1,2367.9,3988.8,17,7977.3,normal,0,1,0,1981.8,0,1,fire_riski
61,a,Nordmann,113.2,86.7,1,0.77,1,0.0,2967.9,5936.3,1,0.0,3387.5,6775.3,1,0.0,545.1,1089.9,1,86.2,325.8,651.5,1,0.0,964.4,1928.9,2423.1,17,4846.4,kritik,1,0,0,1492.2,0,1,kritik_stok
62,a,Rheinland,155.3,84.5,2,0.54,1,0.0,3734.4,7468.6,1,0.0,4192.6,8385.4,1,54.4,911.0,1821.9,1,221.0,711.9,1424.0,1,0.0,1315.1,2629.8,2877.9,8,5320.3,kritik,1,0,0,2455.2,0,1,kritik_stok
63,c,Schnellware,166.9,427.6,1,2.56,4,90.8,3852.2,7704.3,4,31.6,4408.3,8816.8,4,90.8,295.3,590.3,4,265.1,162.3,324.6,4,31.6,815.4,1630.6,3557.1,12,7114.0,normal,0,1,0,2635.2,0,1,fire_riski
64,d,Schnellware,248.9,746.8,1,3.0,4,217.6,5891.1,11781.9,4,135.6,6609.8,13219.4,4,217.6,459.3,918.5,4,471.5,252.4,505.0,4,135.6,1157.1,2314.5,5431.6,11,10863.4,normal,0,1,0,4038.0,1,1,fire_riski|yuksek_tutar
65,a,Schnellware,120.4,229.9,3,1.91,4,30.4,2749.5,5499.0,3,0.0,3151.5,6303.0,4,30.4,201.0,401.9,4,147.6,68.2,136.4,4,0.0,583.2,1166.5,2548.5,12,5097.1,yuksek,0,0,0,1896.0,0,0,yok
66,d,Schnellware,149.8,446.7,1,2.98,4,151.9,3401.0,6802.0,4,114.2,3768.2,7536.1,4,151.9,258.6,517.3,4,275.5,153.1,306.3,4,114.2,625.6,1251.5,3142.3,11,6284.7,normal,0,0,0,2105.4,0,0,yok
67,a,Rheinland,187.7,70.0,2,0.37,1,0.0,4645.0,9289.9,1,0.0,5153.1,10306.2,1,82.8,1149.8,2299.1,1,233.3,899.0,1798.1,1,10.5,1585.3,3170.8,3578.3,8,6494.0,kritik,1,0,0,3031.2,0,1,kritik_stok
68,a,Rheinland,182.8,65.4,2,0.36,1,0.0,4436.9,8873.6,1,0.0,5229.4,10458.3,1,0.0,1209.2,2418.5,1,136.2,796.3,1592.4,1,0.0,2001.7,4003.2,3227.6,8,6455.1,kritik,1,0,0,2894.4,0,1,kritik_stok
69,c,Schnellware,230.2,523.0,1,2.27,4,109.5,5134.1,10268.2,4,56.1,5699.0,11397.9,4,109.5,319.8,639.9,4,287.2,173.9,347.7,4,56.1,855.5,1710.7,4814.2,12,9628.3,normal,0,1,0,3405.0,0,1,fire_riski
70,c,Schnellware,159.9,266.1,1,1.66,3,0.0,3585.4,7170.6,3,0.0,4049.5,8099.1,4,0.0,169.6,339.6,11,101.5,27.6,55.3,4,0.0,610.2,1220.7,3415.6,12,6831.0,yuksek,0,0,0,2476.2,0,0,yok
71,a,Schnellware,218.1,120.1,1,0.55,1,0.0,5117.2,10234.3,1,0.0,5736.6,11473.0,1,0.0,312.6,625.6,1,131.2,70.0,140.0,1,0.0,932.1,1864.4,4804.1,12,9608.7,kritik,1,0,0,3366.6,0,1,kritik_stok
72,a,Nordmann,102.2,28.0,1,0.27,1,0.0,2665.4,5330.7,1,0.0,3082.3,6164.2,1,0.0,498.7,997.1,1,81.2,291.1,582.3,1,0.0,915.3,1830.6,2166.9,17,4333.6,kritik,1,0,0,1122.0,0,1,kritik_stok
73,a,Rheinland,108.9,26.3,2,0.24,1,0.0,2649.3,5298.6,1,0.0,2994.0,5987.3,1,39.9,668.2,1336.5,1,154.3,518.8,1037.7,1,0.2,973.0,1945.8,2021.1,8,3722.7,kritik,1,0,0,1720.2,0,1,kritik_stok
74,a,Schnellware,151.6,388.2,3,2.56,4,116.7,3282.9,6565.7,4,78.3,3696.9,7393.9,4,116.7,282.3,564.5,4,246.4,149.0,298.2,4,78.3,676.5,1352.9,3000.5,12,6001.2,normal,0,0,0,2284.8,0,0,yok
75,d,Nordmann,146.7,440.0,2,3.0,4,134.7,3443.1,6886.5,4,88.4,3902.6,7805.6,4,134.7,460.5,920.9,4,273.4,242.6,485.2,4,88.4,920.1,1839.9,2982.8,17,5965.6,normal,0,0,0,1853.4,0,0,yok
76,d,Schnellware,218.9,616.4,3,2.82,4,196.1,5018.4,10036.9,4,134.0,5609.3,11218.2,4,196.1,394.4,788.9,4,391.1,218.9,437.8,4,134.0,970.9,1941.6,4624.1,11,9248.0,normal,0,0,0,3337.2,0,0,yok
77,d,Schnellware,183.8,36.8,1,0.2,1,0.0,4645.8,9291.8,1,0.0,5236.6,10472.7,1,0.0,354.2,708.7,1,130.4,167.3,334.7,1,0.0,944.8,1889.6,4291.6,12,8583.1,kritik,1,0,0,2988.6,0,1,kritik_stok
78,a,ExpressLog,89.0,217.7,1,2.45,4,63.4,2008.0,4016.0,4,38.7,2269.3,4539.0,4,63.4,127.7,255.5,0,83.3,0.0,0.0,4,38.7,389.1,778.6,1880.1,22,3760.5,normal,0,1,0,796.2,0,1,fire_riski
79,a,Schnellware,131.4,264.3,3,2.01,4,24.4,3090.5,6180.9,3,0.0,3446.4,6893.2,4,24.4,186.7,373.8,4,133.1,58.0,116.1,4,0.0,524.6,1049.1,2903.4,12,5807.1,yuksek,0,0,0,2140.8,0,0,yok
80,d,Schnellware,184.1,37.4,1,0.2,1,0.0,4603.3,9206.6,1,0.0,5192.8,10386.0,1,0.0,366.4,732.7,1,131.2,183.6,367.3,1,0.0,956.3,1912.1,4236.9,12,8473.9,kritik,1,0,0,2851.2,0,1,kritik_stok
81,a,Rheinland,170.1,210.6,2,1.24,3,17.8,4077.6,8154.9,1,0.0,4628.2,9256.6,3,17.8,1078.8,2157.3,3,89.0,704.4,1408.8,1,0.0,1629.5,3259.0,2998.7,8,5997.6,kritik,1,0,1,2745.0,0,1,kritik_stok|belirsiz
82,a,Schnellware,214.5,180.9,1,0.84,3,0.0,5202.9,10405.8,1,0.0,5866.9,11733.3,4,0.0,279.8,559.6,11,146.0,44.3,88.7,1,0.0,931.0,1862.0,4923.1,12,9846.2,kritik,1,0,1,3460.8,0,1,kritik_stok|belirsiz
83,a,Rheinland,94.8,55.1,2,0.58,1,0.0,2205.0,4410.1,1,0.0,2465.1,4930.3,1,10.2,550.0,1100.4,1,81.8,418.6,837.3,1,0.0,800.2,1600.2,1665.3,8,3248.5,kritik,1,0,0,1453.2,0,1,kritik_stok
84,a,Schnellware,315.2,63.0,1,0.2,1,0.0,7582.7,15165.1,1,0.0,8380.4,16760.8,1,0.0,511.7,1023.1,1,176.8,252.7,505.4,1,0.0,1309.4,2618.8,7071.0,12,14142.0,kritik,1,0,0,4915.2,1,1,kritik_stok|yuksek_tutar
85,b,Schnellware,174.0,97.5,1,0.56,1,0.0,4785.1,9571.0,1,0.0,6052.4,12105.5,1,0.0,658.7,1317.3,1,288.3,209.4,418.8,1,0.0,1926.0,3851.8,4126.8,12,8253.7,kritik,1,0,0,3139.2,0,1,kritik_stok
86,a,Schnellware,112.8,338.4,1,3.0,4,138.9,2522.3,5044.7,4,108.5,2859.9,5719.2,4,138.9,236.3,472.3,4,244.8,107.0,214.0,4,108.5,573.4,1146.8,2286.1,11,4572.4,normal,0,1,0,1749.6,0,1,fire_riski
87,a,Schnellware,140.2,111.0,3,0.79,3,0.0,3435.4,6871.0,1,0.0,3890.1,7780.1,4,0.0,174.1,348.2,11,98.7,29.4,58.8,1,0.0,613.6,1227.5,3261.5,12,6522.8,kritik,1,0,1,2280.0,0,1,kritik_stok|belirsiz
88,a,Schnellware,135.2,29.1,1,0.22,1,0.0,3552.2,7104.6,1,0.0,4108.5,8216.9,1,0.0,340.3,681.0,1,107.6,91.2,182.4,1,0.0,896.7,1793.3,3211.7,12,6423.6,kritik,1,0,0,2302.2,0,1,kritik_stok
89,a,Schnellware,145.3,436.0,1,3.0,4,153.1,3370.0,6740.2,4,114.7,3712.5,7425.0,4,153.1,221.4,442.5,4,274.5,118.9,237.8,4,114.7,563.5,1127.3,3148.9,12,6297.7,normal,0,1,0,2242.8,0,1,fire_riski
90,a,Nordmann,204.4,552.1,1,2.7,4,155.6,4479.5,8958.9,4,99.1,5053.2,10106.5,4,155.6,581.5,1163.0,4,326.1,304.3,608.7,4,99.1,1155.1,2310.5,3898.0,17,7795.9,normal,0,1,0,2153.4,0,1,fire_riski
91,c,Schnellware,135.1,405.2,1,3.0,4,191.0,2582.2,5164.4,4,153.3,2974.5,5949.1,4,191.0,238.3,476.8,4,320.2,118.3,236.8,4,153.3,630.8,1261.4,2343.8,11,4687.6,normal,0,1,0,1785.0,0,1,fire_riski
92,c,Schnellware,142.3,355.4,1,2.5,4,64.6,3409.6,6819.5,4,14.2,3901.2,7802.6,4,64.6,282.4,564.4,4,220.5,116.8,233.6,4,14.2,744.3,1489.0,3127.5,12,6255.1,normal,0,1,0,2379.0,0,1,fire_riski
93,a,Schnellware,140.8,170.1,1,1.21,3,0.0,3314.1,6628.1,3,0.0,3791.8,7583.3,4,0.0,194.1,388.2,11,105.8,35.1,70.2,4,0.0,649.3,1298.5,3119.9,12,6239.9,yuksek,0,0,0,2239.8,0,0,yok
94,d,Schnellware,170.9,273.4,1,1.6,3,0.0,3996.2,7992.4,3,0.0,4517.8,9035.5,4,0.0,211.4,423.0,11,111.6,30.5,61.0,4,0.0,705.5,1411.2,3784.8,12,7569.4,yuksek,0,0,0,2745.0,0,0,yok
95,a,Schnellware,183.1,61.1,1,0.33,1,0.0,4178.4,8356.8,1,0.0,4721.3,9442.4,1,0.0,283.5,566.9,1,119.9,74.2,148.4,1,0.0,826.2,1652.5,3894.8,12,7789.9,kritik,1,0,0,2725.2,0,1,kritik_stok
96,a,Rheinland,115.4,23.1,2,0.2,1,0.0,3030.7,6061.8,1,0.0,3504.6,7009.1,1,122.4,811.7,1623.4,1,284.8,596.4,1192.7,1,39.8,1202.9,2405.7,2341.5,8,3704.0,kritik,1,0,0,1963.2,0,1,kritik_stok
