magaza,magaza_tipi,urun_yelpazesi,tipik_gunluk_talep_adet,stok_toplam_adet,yas0_adet,yas1_adet,yas2_adet,en_eski_yas,kalan_raf_omru_gun,stok_gun_karsiligi,tedarikci,profil,referans_gun
29,d,c,175.0,370.9,308.3,0.0,62.6,2,1,2.12,Schnellware,normal,2015-07-03
30,a,a,129.2,386.6,216.9,128.0,41.7,2,1,2.99,Nordmann,normal,2015-07-03
31,d,c,143.3,340.5,340.5,0.0,0.0,0,3,2.38,Schnellware,normal,2015-07-03
32,a,a,96.0,139.4,118.4,0.0,21.0,2,1,1.45,Schnellware,normal,2015-07-03
33,a,c,206.7,206.1,173.3,0.0,32.8,2,1,1.0,Schnellware,normal,2015-07-03
34,c,a,196.6,142.6,117.7,0.0,24.9,2,1,0.73,Schnellware,normal,2015-07-03
35,d,c,229.4,688.0,417.3,200.9,69.8,2,1,3.0,Nordmann,normal,2015-07-03
36,a,c,230.2,659.6,542.5,0.0,117.1,2,1,2.87,Schnellware,normal,2015-07-03
37,c,a,172.3,358.4,224.9,133.5,0.0,1,2,2.08,ExpressLog,yavas_devir,2015-07-03
38,d,a,143.0,104.4,86.6,0.0,17.8,2,1,0.73,Schnellware,normal,2015-07-03
39,a,a,113.4,37.7,0.0,37.7,0.0,1,2,0.33,Rheinland,normal,2015-07-03
40,a,a,120.1,274.3,238.7,0.0,35.6,2,1,2.28,Schnellware,normal,2015-07-03
41,d,c,127.7,41.5,0.0,0.0,41.5,2,1,0.33,Schnellware,normal,2015-07-03
42,a,c,247.3,741.8,466.7,214.2,60.9,2,1,3.0,Nordmann,normal,2015-07-03
43,d,a,164.4,193.6,128.8,48.7,16.1,2,1,1.18,ExpressLog,normal,2015-07-03
44,a,a,132.0,152.3,0.0,106.7,45.6,2,1,1.15,Nordmann,normal,2015-07-03
45,d,a,129.4,234.4,198.6,0.0,35.8,2,1,1.81,Schnellware,normal,2015-07-03
46,c,a,128.4,335.9,335.9,0.0,0.0,0,3,2.62,Schnellware,normal,2015-07-03
47,a,c,173.2,156.5,0.0,156.5,0.0,1,2,0.9,Rheinland,normal,2015-07-03
48,a,a,96.7,148.6,148.6,0.0,0.0,0,3,1.54,Schnellware,yavas_devir,2015-07-03
49,d,c,176.5,181.7,0.0,181.7,0.0,1,2,1.03,Rheinland,normal,2015-07-03
50,d,a,101.8,66.7,0.0,66.7,0.0,1,2,0.66,Rheinland,normal,2015-07-03
51,a,c,161.2,222.7,0.0,222.7,0.0,1,2,1.38,Rheinland,yavas_devir,2015-07-03
52,d,c,180.7,210.1,0.0,132.0,78.1,2,1,1.16,Nordmann,normal,2015-07-03
53,a,c,126.5,41.8,0.0,41.8,0.0,1,2,0.33,Rheinland,yavas_devir,2015-07-03
54,d,c,190.9,292.7,261.0,0.0,31.7,2,1,1.53,Schnellware,normal,2015-07-03
55,a,a,107.7,101.9,101.9,0.0,0.0,0,3,0.95,Schnellware,normal,2015-07-03
56,d,c,175.6,42.0,0.0,42.0,0.0,1,2,0.24,Rheinland,normal,2015-07-03
57,d,c,255.1,294.8,229.4,0.0,65.4,2,1,1.16,Schnellware,normal,2015-07-03
58,a,c,151.0,311.1,235.3,0.0,75.8,2,1,2.06,Schnellware,normal,2015-07-03
59,a,c,128.6,25.7,0.0,0.0,25.7,2,1,0.2,Schnellware,normal,2015-07-03
60,d,c,188.3,564.8,324.8,161.9,78.1,2,1,3.0,Nordmann,normal,2015-07-03
61,a,c,113.2,86.7,52.0,24.2,10.5,2,1,0.77,Nordmann,normal,2015-07-03
62,a,a,155.3,84.5,0.0,84.5,0.0,1,2,0.54,Rheinland,normal,2015-07-03
63,c,c,166.9,427.6,359.9,0.0,67.7,2,1,2.56,Schnellware,normal,2015-07-03
64,d,c,248.9,746.8,644.0,0.0,102.8,2,1,3.0,Schnellware,normal,2015-07-03
65,a,c,120.4,229.9,229.9,0.0,0.0,0,3,1.91,Schnellware,normal,2015-07-03
66,d,a,149.8,446.7,387.1,0.0,59.6,2,1,2.98,Schnellware,normal,2015-07-03
67,a,c,187.7,70.0,0.0,70.0,0.0,1,2,0.37,Rheinland,normal,2015-07-03
68,a,c,182.8,65.4,0.0,65.4,0.0,1,2,0.36,Rheinland,normal,2015-07-03
69,c,c,230.2,523.0,427.8,0.0,95.2,2,1,2.27,Schnellware,normal,2015-07-03
70,c,c,159.9,266.1,225.3,0.0,40.8,2,1,1.66,Schnellware,normal,2015-07-03
71,a,a,218.1,120.1,108.5,0.0,11.6,2,1,0.55,Schnellware,normal,2015-07-03
72,a,a,102.2,28.0,0.0,20.7,7.3,2,1,0.27,Nordmann,normal,2015-07-03
73,a,c,108.9,26.3,0.0,26.3,0.0,1,2,0.24,Rheinland,normal,2015-07-03
74,a,a,151.6,388.2,388.2,0.0,0.0,0,3,2.56,Schnellware,normal,2015-07-03
75,d,c,146.7,440.0,249.3,190.7,0.0,1,2,3.0,Nordmann,yavas_devir,2015-07-03
76,d,c,218.9,616.4,616.4,0.0,0.0,0,3,2.82,Schnellware,yavas_devir,2015-07-03
77,d,c,183.8,36.8,0.0,0.0,36.8,2,1,0.2,Schnellware,normal,2015-07-03
78,a,a,89.0,217.7,178.8,0.0,38.9,2,1,2.45,ExpressLog,normal,2015-07-03
79,a,a,131.4,264.3,264.3,0.0,0.0,0,3,2.01,Schnellware,normal,2015-07-03
80,d,a,184.1,37.4,0.0,0.0,37.4,2,1,0.2,Schnellware,normal,2015-07-03
81,a,a,170.1,210.6,0.0,210.6,0.0,1,2,1.24,Rheinland,yavas_devir,2015-07-03
82,a,a,214.5,180.9,156.1,0.0,24.8,2,1,0.84,Schnellware,normal,2015-07-03
83,a,a,94.8,55.1,0.0,55.1,0.0,1,2,0.58,Rheinland,normal,2015-07-03
84,a,c,315.2,63.0,0.0,0.0,63.0,2,1,0.2,Schnellware,normal,2015-07-03
85,b,a,174.0,97.5,81.5,0.0,16.0,2,1,0.56,Schnellware,normal,2015-07-03
86,a,a,112.8,338.4,232.9,0.0,105.5,2,1,3.0,Schnellware,yavas_devir,2015-07-03
87,a,a,140.2,111.0,111.0,0.0,0.0,0,3,0.79,Schnellware,normal,2015-07-03
88,a,a,135.2,29.1,0.0,0.0,29.1,2,1,0.22,Schnellware,normal,2015-07-03
89,a,a,145.3,436.0,242.1,0.0,193.9,2,1,3.0,Schnellware,yavas_devir,2015-07-03
90,a,a,204.4,552.1,454.7,0.0,97.4,2,1,2.7,Nordmann,normal,2015-07-03
91,c,a,135.1,405.2,264.2,0.0,141.0,2,1,3.0,Schnellware,yavas_devir,2015-07-03
92,c,a,142.3,355.4,230.5,0.0,124.9,2,1,2.5,Schnellware,yavas_devir,2015-07-03
93,a,a,140.8,170.1,140.6,0.0,29.5,2,1,1.21,Schnellware,normal,2015-07-03
94,d,c,170.9,273.4,240.8,0.0,32.6,2,1,1.6,Schnellware,normal,2015-07-03
95,a,a,183.1,61.1,51.3,0.0,9.8,2,1,0.33,Schnellware,normal,2015-07-03
96,a,a,115.4,23.1,0.0,23.1,0.0,1,2,0.2,Rheinland,normal,2015-07-03
97,d,c,159.8,64.8,54.1,0.0,10.7,2,1,0.41,Schnellware,normal,2015-07-03
98,d,c,122.8,98.0,40.5,28.3,29.2,2,1,0.8,Nordmann,yavas_devir,2015-07-03
99,c,c,122.4,367.4,233.3,104.7,29.4,2,1,3.0,ExpressLog,normal,2015-07-03
100,d,a,194.3,117.5,99.2,0.0,18.3,2,1,0.6,Schnellware,normal,2015-07-03
101,d,c,181.7,226.8,192.0,0.0,34.8,2,1,1.25,Schnellware,normal,2015-07-03
102,a,a,167.9,55.7,0.0,0.0,55.7,2,1,0.33,Schnellware,normal,2015-07-03
103,d,c,113.9,40.7,0.0,40.7,0.0,1,2,0.36,Rheinland,normal,2015-07-03
104,a,a,249.8,591.1,591.1,0.0,0.0,0,3,2.37,Schnellware,yavas_devir,2015-07-03
105,a,c,101.9,72.5,62.5,0.0,10.0,2,1,0.71,Nordmann,normal,2015-07-03
106,a,a,210.6,127.5,0.0,88.1,39.4,2,1,0.61,Nordmann,normal,2015-07-03
107,a,a,180.0,177.4,112.2,50.5,14.7,2,1,0.99,Nordmann,normal,2015-07-03
108,d,c,266.3,371.7,249.7,0.0,122.0,2,1,1.4,Schnellware,yavas_devir,2015-07-03
109,a,c,157.4,472.3,347.8,0.0,124.5,2,1,3.0,ExpressLog,yavas_devir,2015-07-03
110,a,c,109.0,41.8,41.8,0.0,0.0,0,3,0.38,Schnellware,normal,2015-07-03
111,d,c,163.9,437.8,437.8,0.0,0.0,0,3,2.67,Schnellware,yavas_devir,2015-07-03
112,a,a,153.9,117.2,0.0,0.0,117.2,2,1,0.76,Schnellware,yavas_devir,2015-07-03
113,d,c,178.5,185.2,117.4,45.1,22.7,2,1,1.04,ExpressLog,normal,2015-07-03
114,c,a,130.3,26.5,0.0,26.5,0.0,1,2,0.2,Rheinland,normal,2015-07-03
115,d,c,177.4,454.3,297.1,157.2,0.0,1,2,2.56,Nordmann,normal,2015-07-03
116,a,a,179.1,35.8,0.0,0.0,35.8,2,1,0.2,Schnellware,normal,2015-07-03
117,a,a,93.3,279.9,186.4,69.6,23.9,2,1,3.0,ExpressLog,normal,2015-07-03
118,d,c,185.5,395.3,395.3,0.0,0.0,0,3,2.13,Schnellware,normal,2015-07-03
119,a,c,146.4,68.2,0.0,0.0,68.2,2,1,0.47,Schnellware,normal,2015-07-03
120,d,a,172.4,141.9,0.0,99.4,42.5,2,1,0.82,ExpressLog,normal,2015-07-03
121,a,a,105.8,61.0,54.1,0.0,6.9,2,1,0.58,Schnellware,normal,2015-07-03
122,a,c,148.8,323.2,267.2,0.0,56.0,2,1,2.17,Schnellware,normal,2015-07-03
123,a,a,194.6,214.3,0.0,214.3,0.0,1,2,1.1,Rheinland,normal,2015-07-03
124,a,a,105.5,236.9,199.2,0.0,37.7,2,1,2.25,Schnellware,normal,2015-07-03
125,a,a,287.7,103.0,0.0,0.0,103.0,2,1,0.36,Schnellware,normal,2015-07-03
126,d,a,152.6,286.6,286.6,0.0,0.0,0,3,1.88,Schnellware,normal,2015-07-03
127,d,a,125.4,291.8,237.9,0.0,53.9,2,1,2.33,Schnellware,normal,2015-07-03
128,d,c,177.3,102.6,73.8,28.8,0.0,1,2,0.58,Nordmann,normal,2015-07-03
129,a,a,226.4,77.0,0.0,77.0,0.0,1,2,0.34,Rheinland,normal,2015-07-03
130,c,a,125.5,64.3,64.3,0.0,0.0,0,3,0.51,Schnellware,normal,2015-07-03
131,c,a,128.2,136.1,117.1,0.0,19.0,2,1,1.06,Schnellware,normal,2015-07-03
132,d,c,149.2,72.7,65.1,0.0,7.6,2,1,0.49,Schnellware,normal,2015-07-03
133,a,a,153.5,185.5,0.0,185.5,0.0,1,2,1.21,Rheinland,normal,2015-07-03
134,a,a,115.6,24.6,0.0,0.0,24.6,2,1,0.21,ExpressLog,normal,2015-07-03
135,d,a,144.3,133.6,69.9,35.7,28.0,2,1,0.93,ExpressLog,yavas_devir,2015-07-03
136,a,c,130.1,74.3,64.3,0.0,10.0,2,1,0.57,Schnellware,normal,2015-07-03
137,a,a,202.0,456.0,393.5,0.0,62.5,2,1,2.26,Schnellware,normal,2015-07-03
138,a,c,168.3,52.9,0.0,0.0,52.9,2,1,0.31,Schnellware,normal,2015-07-03
139,a,a,156.0,174.2,0.0,174.2,0.0,1,2,1.12,Rheinland,normal,2015-07-03
140,a,c,182.2,530.6,303.3,0.0,227.3,2,1,2.91,Schnellware,yavas_devir,2015-07-03
141,c,c,133.9,153.5,0.0,153.5,0.0,1,2,1.15,Rheinland,normal,2015-07-03
142,a,a,112.2,24.3,0.0,24.3,0.0,1,2,0.22,Rheinland,normal,2015-07-03
143,d,a,151.3,78.7,78.7,0.0,0.0,0,3,0.52,Schnellware,normal,2015-07-03
144,a,c,188.1,564.4,362.9,0.0,201.5,2,1,3.0,Schnellware,yavas_devir,2015-07-03
145,a,a,203.7,118.5,96.2,0.0,22.3,2,1,0.58,Schnellware,normal,2015-07-03
146,d,c,188.2,173.7,173.7,0.0,0.0,0,3,0.92,Schnellware,yavas_devir,2015-07-03
147,d,c,199.4,186.9,186.9,0.0,0.0,0,3,0.94,Schnellware,normal,2015-07-03
148,a,a,211.8,130.5,0.0,130.5,0.0,1,2,0.62,Rheinland,normal,2015-07-03
149,d,a,134.4,168.7,0.0,0.0,168.7,2,1,1.26,Schnellware,yavas_devir,2015-07-03
150,c,c,203.3,570.4,431.2,0.0,139.2,2,1,2.81,Schnellware,yavas_devir,2015-07-03
151,d,c,161.7,122.6,0.0,122.6,0.0,1,2,0.76,Rheinland,normal,2015-07-03
152,a,a,130.7,73.4,51.3,22.1,0.0,1,2,0.56,Nordmann,normal,2015-07-03
153,a,a,166.5,83.1,74.2,0.0,8.9,2,1,0.5,Schnellware,normal,2015-07-03
154,d,c,210.8,273.3,172.9,70.8,29.6,2,1,1.3,Nordmann,normal,2015-07-03
155,d,a,167.7,246.1,200.2,0.0,45.9,2,1,1.47,ExpressLog,normal,2015-07-03
156,a,a,159.2,162.7,0.0,162.7,0.0,1,2,1.02,Rheinland,normal,2015-07-03
157,a,c,235.4,254.0,0.0,254.0,0.0,1,2,1.08,Rheinland,normal,2015-07-03
158,d,c,199.1,597.3,513.5,0.0,83.8,2,1,3.0,Schnellware,normal,2015-07-03
159,d,a,187.0,168.5,148.2,0.0,20.3,2,1,0.9,ExpressLog,normal,2015-07-03
160,d,c,139.3,81.2,71.8,0.0,9.4,2,1,0.58,Schnellware,normal,2015-07-03
161,a,c,177.4,127.2,87.2,27.7,12.3,2,1,0.72,ExpressLog,normal,2015-07-03
162,d,c,186.8,54.8,0.0,54.8,0.0,1,2,0.29,Rheinland,normal,2015-07-03
163,a,a,180.0,433.6,433.6,0.0,0.0,0,3,2.41,Schnellware,normal,2015-07-03
164,a,a,146.7,79.4,62.3,0.0,17.1,2,1,0.54,Schnellware,normal,2015-07-03
165,a,a,97.4,122.6,0.0,122.6,0.0,1,2,1.26,Rheinland,yavas_devir,2015-07-03
166,a,c,141.5,33.4,0.0,33.4,0.0,1,2,0.24,Rheinland,normal,2015-07-03
167,a,a,218.4,588.2,526.3,0.0,61.9,2,1,2.69,Schnellware,normal,2015-07-03
168,a,a,179.0,144.4,0.0,144.4,0.0,1,2,0.81,Rheinland,normal,2015-07-03
169,d,a,177.0,341.2,205.4,135.8,0.0,1,2,1.93,Nordmann,yavas_devir,2015-07-03
170,a,a,122.9,212.0,172.7,0.0,39.3,2,1,1.73,Schnellware,normal,2015-07-03
171,a,a,202.4,156.7,131.3,0.0,25.4,2,1,0.77,Schnellware,normal,2015-07-03
172,a,a,171.2,513.6,454.4,0.0,59.2,2,1,3.0,Schnellware,normal,2015-07-03
173,a,a,200.7,333.8,204.1,97.6,32.1,2,1,1.66,Nordmann,normal,2015-07-03
174,a,a,145.3,83.7,75.1,0.0,8.6,2,1,0.58,Schnellware,normal,2015-07-03
175,c,a,140.3,28.1,0.0,28.1,0.0,1,2,0.2,Nordmann,normal,2015-07-03
176,a,a,124.9,250.1,250.1,0.0,0.0,0,3,2.0,Schnellware,normal,2015-07-03
177,a,a,92.9,67.1,0.0,67.1,0.0,1,2,0.72,Rheinland,normal,2015-07-03
178,d,a,242.1,651.2,589.0,0.0,62.2,2,1,2.69,Schnellware,normal,2015-07-03
179,a,c,175.3,44.8,0.0,0.0,44.8,2,1,0.26,Schnellware,normal,2015-07-03
180,d,a,176.2,508.6,276.5,181.0,51.1,2,1,2.89,Nordmann,normal,2015-07-03
181,a,a,150.6,370.0,295.6,0.0,74.4,2,1,2.46,Schnellware,normal,2015-07-03
182,d,c,127.6,245.6,245.6,0.0,0.0,0,3,1.93,Schnellware,yavas_devir,2015-07-03
183,a,a,111.8,199.7,76.3,63.2,60.2,2,1,1.79,ExpressLog,yavas_devir,2015-07-03
184,d,c,159.9,479.6,312.3,114.0,53.3,2,1,3.0,ExpressLog,normal,2015-07-03
185,d,c,174.5,488.0,409.8,0.0,78.2,2,1,2.8,Nordmann,normal,2015-07-03
186,a,a,91.3,151.0,151.0,0.0,0.0,0,3,1.65,Schnellware,normal,2015-07-03
187,a,c,151.4,171.0,0.0,171.0,0.0,1,2,1.13,Rheinland,normal,2015-07-03
188,d,a,118.5,43.4,36.5,0.0,6.9,2,1,0.37,Nordmann,normal,2015-07-03
189,d,a,213.9,97.2,78.8,0.0,18.4,2,1,0.45,Schnellware,normal,2015-07-03
190,a,a,174.3,89.1,0.0,0.0,89.1,2,1,0.51,Schnellware,normal,2015-07-03
191,a,a,167.8,503.5,334.8,101.3,67.4,2,1,3.0,Nordmann,normal,2015-07-03
192,d,c,202.0,331.3,280.4,0.0,50.9,2,1,1.64,Schnellware,normal,2015-07-03
193,a,a,128.0,56.3,0.0,56.3,0.0,1,2,0.44,Rheinland,normal,2015-07-03
194,d,c,117.7,353.1,226.1,77.9,49.1,2,1,3.0,ExpressLog,normal,2015-07-03
195,a,c,260.2,52.0,0.0,52.0,0.0,1,2,0.2,Rheinland,normal,2015-07-03
196,c,a,125.8,69.8,57.1,0.0,12.7,2,1,0.55,Schnellware,normal,2015-07-03
197,c,a,165.8,403.8,323.6,0.0,80.2,2,1,2.43,Schnellware,normal,2015-07-03
198,a,a,61.4,103.8,76.9,0.0,26.9,2,1,1.69,Schnellware,yavas_devir,2015-07-03
199,d,c,191.2,272.6,221.4,0.0,51.2,2,1,1.43,Schnellware,normal,2015-07-03
200,a,a,189.6,478.4,311.2,126.7,40.5,2,1,2.52,Nordmann,normal,2015-07-03
201,d,a,126.7,380.0,249.5,130.5,0.0,1,2,3.0,Nordmann,yavas_devir,2015-07-03
202,d,c,146.8,380.2,308.6,0.0,71.6,2,1,2.59,Schnellware,normal,2015-07-03
203,c,c,163.5,317.8,268.6,0.0,49.2,2,1,1.94,Schnellware,normal,2015-07-03
204,a,a,134.0,402.2,261.6,102.9,37.7,2,1,3.0,Nordmann,normal,2015-07-03
205,a,a,158.6,61.1,49.4,0.0,11.7,2,1,0.39,Schnellware,normal,2015-07-03
206,a,c,169.9,256.5,222.8,0.0,33.7,2,1,1.51,Schnellware,normal,2015-07-03
207,a,a,268.7,157.5,133.1,0.0,24.4,2,1,0.59,Schnellware,normal,2015-07-03
208,c,a,70.9,14.2,0.0,14.2,0.0,1,2,0.2,Rheinland,normal,2015-07-03
209,a,c,128.5,65.2,49.5,0.0,15.7,2,1,0.51,Schnellware,normal,2015-07-03
210,d,a,77.2,36.4,0.0,36.4,0.0,1,2,0.47,Rheinland,normal,2015-07-03
211,a,c,313.4,107.4,0.0,0.0,107.4,2,1,0.34,Schnellware,normal,2015-07-03
212,a,c,115.8,23.2,0.0,23.2,0.0,1,2,0.2,Rheinland,normal,2015-07-03
213,d,c,195.5,449.9,402.5,0.0,47.4,2,1,2.3,Schnellware,normal,2015-07-03
214,d,a,225.7,190.4,148.9,0.0,41.5,2,1,0.84,Schnellware,normal,2015-07-03
215,d,a,151.1,30.2,0.0,0.0,30.2,2,1,0.2,Schnellware,normal,2015-07-03
216,c,a,175.7,527.2,447.3,0.0,79.9,2,1,3.0,Schnellware,normal,2015-07-03
217,c,a,114.4,292.9,259.0,0.0,33.9,2,1,2.56,Schnellware,normal,2015-07-03
218,a,c,119.2,43.0,0.0,0.0,43.0,2,1,0.36,Schnellware,normal,2015-07-03
219,a,a,75.3,22.7,0.0,0.0,22.7,2,1,0.3,Schnellware,normal,2015-07-03
220,a,a,118.9,75.6,58.8,0.0,16.8,2,1,0.64,Schnellware,normal,2015-07-03
221,d,c,140.7,256.8,175.2,59.5,22.1,2,1,1.83,ExpressLog,normal,2015-07-03
222,a,a,119.1,248.3,215.4,0.0,32.9,2,1,2.08,Schnellware,normal,2015-07-03
223,d,c,173.9,363.7,287.9,0.0,75.8,2,1,2.09,Nordmann,normal,2015-07-03
224,d,c,158.5,119.0,81.0,27.5,10.5,2,1,0.75,ExpressLog,normal,2015-07-03
225,d,a,124.6,290.1,290.1,0.0,0.0,0,3,2.33,Schnellware,yavas_devir,2015-07-03
226,a,a,177.6,151.9,0.0,151.9,0.0,1,2,0.86,Rheinland,normal,2015-07-03
227,a,a,143.8,431.5,281.1,87.4,63.0,2,1,3.0,Nordmann,normal,2015-07-03
228,d,c,194.0,202.3,0.0,202.3,0.0,1,2,1.04,Rheinland,normal,2015-07-03
229,d,c,208.4,148.6,133.0,0.0,15.6,2,1,0.71,Schnellware,normal,2015-07-03
230,d,c,184.1,44.5,0.0,0.0,44.5,2,1,0.24,Schnellware,normal,2015-07-03
231,d,c,114.1,45.6,37.6,0.0,8.0,2,1,0.4,Schnellware,normal,2015-07-03
232,c,c,79.6,46.1,46.1,0.0,0.0,0,3,0.58,Schnellware,normal,2015-07-03
233,a,a,230.5,691.5,394.2,203.5,93.8,2,1,3.0,ExpressLog,normal,2015-07-03
234,d,a,264.7,794.1,419.2,300.9,74.0,2,1,3.0,ExpressLog,normal,2015-07-03
235,a,a,141.9,116.4,96.7,0.0,19.7,2,1,0.82,Schnellware,normal,2015-07-03
236,a,a,170.1,61.1,0.0,61.1,0.0,1,2,0.36,Rheinland,normal,2015-07-03
237,a,a,111.4,37.4,31.4,0.0,6.0,2,1,0.34,Schnellware,normal,2015-07-03
238,a,a,186.7,365.4,223.0,142.4,0.0,1,2,1.96,ExpressLog,yavas_devir,2015-07-03
239,d,c,121.4,73.7,63.2,0.0,10.5,2,1,0.61,Schnellware,normal,2015-07-03
240,a,a,117.6,127.8,76.9,31.8,19.1,2,1,1.09,ExpressLog,normal,2015-07-03
241,d,c,160.3,143.7,93.0,35.5,15.2,2,1,0.9,Nordmann,normal,2015-07-03
242,d,a,96.7,136.6,136.6,0.0,0.0,0,3,1.41,Schnellware,yavas_devir,2015-07-03
243,a,a,170.4,80.4,64.8,0.0,15.6,2,1,0.47,Schnellware,normal,2015-07-03
244,d,a,125.6,121.1,51.4,40.0,29.7,2,1,0.96,Nordmann,yavas_devir,2015-07-03
245,a,c,217.6,367.7,367.7,0.0,0.0,0,3,1.69,Schnellware,normal,2015-07-03
246,c,a,173.1,87.7,72.2,0.0,15.5,2,1,0.51,Schnellware,normal,2015-07-03
247,d,c,207.0,146.0,106.9,26.6,12.5,2,1,0.71,ExpressLog,normal,2015-07-03
248,a,c,203.6,235.5,0.0,235.5,0.0,1,2,1.16,Rheinland,normal,2015-07-03
249,d,c,128.4,274.2,227.8,0.0,46.4,2,1,2.14,Schnellware,normal,2015-07-03
250,d,a,202.0,93.6,78.9,0.0,14.7,2,1,0.46,Schnellware,normal,2015-07-03
251,a,c,469.8,226.4,0.0,0.0,226.4,2,1,0.48,Schnellware,yavas_devir,2015-07-03
252,d,c,256.4,769.3,498.7,180.5,90.1,2,1,3.0,ExpressLog,normal,2015-07-03
253,a,c,135.8,354.9,307.8,0.0,47.1,2,1,2.61,Schnellware,normal,2015-07-03
254,d,a,71.8,39.3,39.3,0.0,0.0,0,3,0.55,Schnellware,normal,2015-07-03
255,c,c,152.0,183.4,142.5,0.0,40.9,2,1,1.21,Schnellware,normal,2015-07-03
256,a,c,238.9,716.7,475.7,190.6,50.4,2,1,3.0,ExpressLog,normal,2015-07-03
257,a,a,128.6,45.8,0.0,0.0,45.8,2,1,0.36,Schnellware,normal,2015-07-03
258,a,a,137.2,291.6,137.3,105.3,49.0,2,1,2.13,Nordmann,yavas_devir,2015-07-03
259,b,b,282.0,195.7,0.0,195.7,0.0,1,2,0.69,Rheinland,normal,2015-07-03
260,a,a,163.1,92.9,63.0,29.9,0.0,1,2,0.57,Nordmann,normal,2015-07-03
261,d,c,295.6,640.2,449.1,191.1,0.0,1,2,2.17,ExpressLog,normal,2015-07-03
262,b,a,505.4,906.4,608.7,0.0,297.7,2,1,1.79,Nordmann,yavas_devir,2015-07-03
263,a,c,88.1,264.3,134.8,92.3,37.2,2,1,3.0,ExpressLog,normal,2015-07-03
264,a,a,174.4,168.1,140.4,0.0,27.7,2,1,0.96,Schnellware,normal,2015-07-03
265,a,a,115.2,345.6,231.4,80.8,33.4,2,1,3.0,Nordmann,normal,2015-07-03
266,a,c,104.5,209.4,209.4,0.0,0.0,0,3,2.0,Schnellware,normal,2015-07-03
267,c,a,223.9,445.5,354.0,0.0,91.5,2,1,1.99,Schnellware,normal,2015-07-03
268,a,a,116.9,350.6,236.2,85.0,29.4,2,1,3.0,Nordmann,normal,2015-07-03
269,a,c,224.6,294.4,294.4,0.0,0.0,0,3,1.31,ExpressLog,normal,2015-07-03
270,a,a,227.4,147.4,0.0,147.4,0.0,1,2,0.65,Rheinland,normal,2015-07-03
271,a,a,175.3,130.2,114.3,0.0,15.9,2,1,0.74,Schnellware,normal,2015-07-03
