magaza,tarih,h,siparis,tedarikci,lead_gun,varis_tarihi,tutar_eur,onay_tekil,tedarikci_gun_tutar_eur,onay_zincir,onay_gerekli
533,2015-07-04,1,469.5,Schnellware,2,2015-07-06,2817.0,0,681537.0,1,1
527,2015-07-04,1,469.3,Schnellware,2,2015-07-06,2815.8,0,681537.0,1,1
963,2015-07-04,1,464.1,Rheinland,3,2015-07-07,2784.6,0,316365.6,0,0
192,2015-07-04,1,463.5,Schnellware,2,2015-07-06,2781.0,0,681537.0,1,1
108,2015-07-04,1,457.4,Schnellware,2,2015-07-06,2744.4,0,681537.0,1,1
333,2015-07-04,1,442.0,Schnellware,2,2015-07-06,2652.0,0,681537.0,1,1
911,2015-07-04,1,435.0,Schnellware,2,2015-07-06,2610.0,0,681537.0,1,1
807,2015-07-04,1,433.2,Schnellware,2,2015-07-06,2599.2,0,681537.0,1,1
526,2015-07-04,1,429.8,Rheinland,3,2015-07-07,2578.8,0,316365.6,0,0
729,2015-07-04,1,424.4,Rheinland,3,2015-07-07,2546.4,0,316365.6,0,0
787,2015-07-04,1,424.2,Rheinland,3,2015-07-07,2545.2,0,316365.6,0,0
697,2015-07-04,1,423.8,Rheinland,3,2015-07-07,2542.8,0,316365.6,0,0
431,2015-07-04,1,421.4,Schnellware,2,2015-07-06,2528.4,0,681537.0,1,1
914,2015-07-04,1,421.2,Schnellware,2,2015-07-06,2527.2,0,681537.0,1,1
587,2015-07-04,1,421.0,Schnellware,2,2015-07-06,2526.0,0,681537.0,1,1
262,2015-07-04,1,418.9,Nordmann,5,2015-07-09,2513.4,0,143394.6,0,0
761,2015-07-04,1,416.0,Schnellware,2,2015-07-06,2496.0,0,681537.0,1,1
270,2015-07-04,1,415.0,Rheinland,3,2015-07-07,2490.0,0,316365.6,0,0
384,2015-07-04,1,415.0,Schnellware,2,2015-07-06,2490.0,0,681537.0,1,1
157,2015-07-04,1,412.6,Rheinland,3,2015-07-07,2475.6,0,316365.6,0,0
434,2015-07-04,1,410.2,Rheinland,3,2015-07-07,2461.2,0,316365.6,0,0
358,2015-07-04,1,409.0,Schnellware,2,2015-07-06,2454.0,0,681537.0,1,1
739,2015-07-04,1,407.7,Schnellware,2,2015-07-06,2446.2,0,681537.0,1,1
615,2015-07-04,1,401.7,Schnellware,2,2015-07-06,2410.2,0,681537.0,1,1
195,2015-07-04,1,401.2,Rheinland,3,2015-07-07,2407.2,0,316365.6,0,0
713,2015-07-04,1,400.7,Schnellware,2,2015-07-06,2404.2,0,681537.0,1,1
599,2015-07-04,1,400.5,Schnellware,2,2015-07-06,2403.0,0,681537.0,1,1
316,2015-07-04,1,398.5,Schnellware,2,2015-07-06,2391.0,0,681537.0,1,1
853,2015-07-04,1,398.2,Rheinland,3,2015-07-07,2389.2,0,316365.6,0,0
938,2015-07-04,1,397.4,Rheinland,3,2015-07-07,2384.4,0,316365.6,0,0
344,2015-07-04,1,393.7,Schnellware,2,2015-07-06,2362.2,0,681537.0,1,1
362,2015-07-04,1,393.4,Rheinland,3,2015-07-07,2360.4,0,316365.6,0,0
148,2015-07-04,1,391.8,Rheinland,3,2015-07-07,2350.8,0,316365.6,0,0
696,2015-07-04,1,391.5,Schnellware,2,2015-07-06,2349.0,0,681537.0,1,1
676,2015-07-04,1,391.0,Schnellware,2,2015-07-06,2346.0,0,681537.0,1,1
862,2015-07-04,1,390.3,Schnellware,2,2015-07-06,2341.8,0,681537.0,1,1
868,2015-07-04,1,388.3,Rheinland,3,2015-07-07,2329.8,0,316365.6,0,0
349,2015-07-04,1,384.9,Rheinland,3,2015-07-07,2309.4,0,316365.6,0,0
707,2015-07-04,1,380.5,Schnellware,2,2015-07-06,2283.0,0,681537.0,1,1
668,2015-07-04,1,380.4,Schnellware,2,2015-07-06,2282.4,0,681537.0,1,1
682,2015-07-04,1,380.2,Schnellware,2,2015-07-06,2281.2,0,681537.0,1,1
129,2015-07-04,1,378.1,Rheinland,3,2015-07-07,2268.6,0,316365.6,0,0
637,2015-07-04,1,377.4,Rheinland,3,2015-07-07,2264.4,0,316365.6,0,0
574,2015-07-04,1,375.8,Schnellware,2,2015-07-06,2254.8,0,681537.0,1,1
535,2015-07-04,1,375.4,Schnellware,2,2015-07-06,2252.4,0,681537.0,1,1
82,2015-07-04,1,372.7,Schnellware,2,2015-07-06,2236.2,0,681537.0,1,1
368,2015-07-04,1,371.7,Schnellware,2,2015-07-06,2230.2,0,681537.0,1,1
34,2015-07-04,1,369.7,Schnellware,2,2015-07-06,2218.2,0,681537.0,1,1
71,2015-07-04,1,369.3,Schnellware,2,2015-07-06,2215.8,0,681537.0,1,1
214,2015-07-04,1,368.6,Schnellware,2,2015-07-06,2211.6,0,681537.0,1,1
400,2015-07-04,1,367.8,Schnellware,2,2015-07-06,2206.8,0,681537.0,1,1
1099,2015-07-04,1,367.5,Schnellware,2,2015-07-06,2205.0,0,681537.0,1,1
863,2015-07-04,1,366.7,Schnellware,2,2015-07-06,2200.2,0,681537.0,1,1
20,2015-07-04,1,364.1,Schnellware,2,2015-07-06,2184.6,0,681537.0,1,1
493,2015-07-04,1,363.3,Schnellware,2,2015-07-06,2179.8,0,681537.0,1,1
189,2015-07-04,1,362.3,Schnellware,2,2015-07-06,2173.8,0,681537.0,1,1
791,2015-07-04,1,361.7,Schnellware,2,2015-07-06,2170.2,0,681537.0,1,1
1046,2015-07-04,1,361.7,Schnellware,2,2015-07-06,2170.2,0,681537.0,1,1
229,2015-07-04,1,361.6,Schnellware,2,2015-07-06,2169.6,0,681537.0,1,1
731,2015-07-04,1,360.2,Rheinland,3,2015-07-07,2161.2,0,316365.6,0,0
123,2015-07-04,1,357.7,Rheinland,3,2015-07-07,2146.2,0,316365.6,0,0
171,2015-07-04,1,356.7,Schnellware,2,2015-07-06,2140.2,0,681537.0,1,1
421,2015-07-04,1,356.3,Rheinland,3,2015-07-07,2137.8,0,316365.6,0,0
809,2015-07-04,1,356.1,Rheinland,3,2015-07-07,2136.6,0,316365.6,0,0
667,2015-07-04,1,354.3,Schnellware,2,2015-07-06,2125.8,0,681537.0,1,1
1091,2015-07-04,1,354.1,Schnellware,2,2015-07-06,2124.6,0,681537.0,1,1
33,2015-07-04,1,353.8,Schnellware,2,2015-07-06,2122.8,0,681537.0,1,1
948,2015-07-04,1,351.9,Schnellware,2,2015-07-06,2111.4,0,681537.0,1,1
880,2015-07-04,1,351.8,Schnellware,2,2015-07-06,2110.8,0,681537.0,1,1
411,2015-07-04,1,351.2,Rheinland,3,2015-07-07,2107.2,0,316365.6,0,0
709,2015-07-04,1,351.1,Schnellware,2,2015-07-06,2106.6,0,681537.0,1,1
626,2015-07-04,1,350.3,Rheinland,3,2015-07-07,2101.8,0,316365.6,0,0
888,2015-07-04,1,350.0,Rheinland,3,2015-07-07,2100.0,0,316365.6,0,0
100,2015-07-04,1,349.4,Schnellware,2,2015-07-06,2096.4,0,681537.0,1,1
968,2015-07-04,1,349.4,Schnellware,2,2015-07-06,2096.4,0,681537.0,1,1
190,2015-07-04,1,348.5,Schnellware,2,2015-07-06,2091.0,0,681537.0,1,1
230,2015-07-04,1,348.4,Schnellware,2,2015-07-06,2090.4,0,681537.0,1,1
824,2015-07-04,1,347.5,Schnellware,2,2015-07-06,2085.0,0,681537.0,1,1
248,2015-07-04,1,347.1,Rheinland,3,2015-07-07,2082.6,0,316365.6,0,0
250,2015-07-04,1,346.5,Schnellware,2,2015-07-06,2079.0,0,681537.0,1,1
11,2015-07-04,1,343.4,Rheinland,3,2015-07-07,2060.4,0,316365.6,0,0
694,2015-07-04,1,343.3,Schnellware,2,2015-07-06,2059.8,0,681537.0,1,1
1019,2015-07-04,1,343.0,Schnellware,2,2015-07-06,2058.0,0,681537.0,1,1
872,2015-07-04,1,342.9,Schnellware,2,2015-07-06,2057.4,0,681537.0,1,1
620,2015-07-04,1,341.3,Rheinland,3,2015-07-07,2047.8,0,316365.6,0,0
849,2015-07-04,1,341.3,Schnellware,2,2015-07-06,2047.8,0,681537.0,1,1
291,2015-07-04,1,340.3,Schnellware,2,2015-07-06,2041.8,0,681537.0,1,1
298,2015-07-04,1,339.1,Rheinland,3,2015-07-07,2034.6,0,316365.6,0,0
947,2015-07-04,1,339.1,Schnellware,2,2015-07-06,2034.6,0,681537.0,1,1
387,2015-07-04,1,336.6,Rheinland,3,2015-07-07,2019.6,0,316365.6,0,0
753,2015-07-04,1,336.5,Schnellware,2,2015-07-06,2019.0,0,681537.0,1,1
951,2015-07-04,1,335.9,Schnellware,2,2015-07-06,2015.4,0,681537.0,1,1
494,2015-07-04,1,335.7,Schnellware,2,2015-07-06,2014.2,0,681537.0,1,1
145,2015-07-04,1,335.3,Schnellware,2,2015-07-06,2011.8,0,681537.0,1,1
744,2015-07-04,1,335.0,Schnellware,2,2015-07-06,2010.0,0,681537.0,1,1
116,2015-07-04,1,334.4,Schnellware,2,2015-07-06,2006.4,0,681537.0,1,1
138,2015-07-04,1,334.3,Schnellware,2,2015-07-06,2005.8,0,681537.0,1,1
645,2015-07-04,1,334.3,Schnellware,2,2015-07-06,2005.8,0,681537.0,1,1
796,2015-07-04,1,334.2,Schnellware,2,2015-07-06,2005.2,0,681537.0,1,1
1043,2015-07-04,1,332.9,Schnellware,2,2015-07-06,1997.4,0,681537.0,1,1
1079,2015-07-04,1,330.0,Rheinland,3,2015-07-07,1980.0,0,316365.6,0,0
146,2015-07-04,1,329.9,Schnellware,2,2015-07-06,1979.4,0,681537.0,1,1
571,2015-07-04,1,329.9,Schnellware,2,2015-07-06,1979.4,0,681537.0,1,1
228,2015-07-04,1,329.6,Rheinland,3,2015-07-07,1977.6,0,316365.6,0,0
424,2015-07-04,1,329.6,Schnellware,2,2015-07-06,1977.6,0,681537.0,1,1
870,2015-07-04,1,328.9,Rheinland,3,2015-07-07,1973.4,0,316365.6,0,0
147,2015-07-04,1,328.8,Schnellware,2,2015-07-06,1972.8,0,681537.0,1,1
975,2015-07-04,1,328.5,Schnellware,2,2015-07-06,1971.0,0,681537.0,1,1
814,2015-07-04,1,328.0,Rheinland,3,2015-07-07,1968.0,0,316365.6,0,0
1061,2015-07-04,1,327.6,Schnellware,2,2015-07-06,1965.6,0,681537.0,1,1
299,2015-07-04,1,326.5,Schnellware,2,2015-07-06,1959.0,0,681537.0,1,1
374,2015-07-04,1,326.4,Rheinland,3,2015-07-07,1958.4,0,316365.6,0,0
684,2015-07-04,1,326.1,Schnellware,2,2015-07-06,1956.6,0,681537.0,1,1
732,2015-07-04,1,326.0,Schnellware,2,2015-07-06,1956.0,0,681537.0,1,1
1073,2015-07-04,1,325.6,Schnellware,2,2015-07-06,1953.6,0,681537.0,1,1
67,2015-07-04,1,325.2,Rheinland,3,2015-07-07,1951.2,0,316365.6,0,0
47,2015-07-04,1,325.0,Rheinland,3,2015-07-07,1950.0,0,316365.6,0,0
236,2015-07-04,1,324.8,Rheinland,3,2015-07-07,1948.8,0,316365.6,0,0
859,2015-07-04,1,323.9,Rheinland,3,2015-07-07,1943.4,0,316365.6,0,0
466,2015-07-04,1,323.7,Schnellware,2,2015-07-06,1942.2,0,681537.0,1,1
1025,2015-07-04,1,323.3,Rheinland,3,2015-07-07,1939.8,0,316365.6,0,0
643,2015-07-04,1,322.7,Rheinland,3,2015-07-07,1936.2,0,316365.6,0,0
932,2015-07-04,1,322.2,Rheinland,3,2015-07-07,1933.2,0,316365.6,0,0
1081,2015-07-04,1,320.7,Rheinland,3,2015-07-07,1924.2,0,316365.6,0,0
978,2015-07-04,1,320.1,Schnellware,2,2015-07-06,1920.6,0,681537.0,1,1
674,2015-07-04,1,318.9,Rheinland,3,2015-07-07,1913.4,0,316365.6,0,0
730,2015-07-04,1,317.3,Schnellware,2,2015-07-06,1903.8,0,681537.0,1,1
745,2015-07-04,1,316.7,Schnellware,2,2015-07-06,1900.2,0,681537.0,1,1
168,2015-07-04,1,315.9,Rheinland,3,2015-07-07,1895.4,0,316365.6,0,0
416,2015-07-04,1,315.6,Schnellware,2,2015-07-06,1893.6,0,681537.0,1,1
246,2015-07-04,1,315.1,Schnellware,2,2015-07-06,1890.6,0,681537.0,1,1
68,2015-07-04,1,314.3,Rheinland,3,2015-07-07,1885.8,0,316365.6,0,0
892,2015-07-04,1,313.3,Rheinland,3,2015-07-07,1879.8,0,316365.6,0,0
922,2015-07-04,1,313.2,Schnellware,2,2015-07-06,1879.2,0,681537.0,1,1
95,2015-07-04,1,313.1,Schnellware,2,2015-07-06,1878.6,0,681537.0,1,1
417,2015-07-04,1,312.9,Schnellware,2,2015-07-06,1877.4,0,681537.0,1,1
465,2015-07-04,1,312.9,Schnellware,2,2015-07-06,1877.4,0,681537.0,1,1
1072,2015-07-04,1,312.9,Schnellware,2,2015-07-06,1877.4,0,681537.0,1,1
56,2015-07-04,1,312.6,Rheinland,3,2015-07-07,1875.6,0,316365.6,0,0
865,2015-07-04,1,312.5,Schnellware,2,2015-07-06,1875.0,0,681537.0,1,1
1055,2015-07-04,1,312.0,Rheinland,3,2015-07-07,1872.0,0,316365.6,0,0
662,2015-07-04,1,311.8,Rheinland,3,2015-07-07,1870.8,0,316365.6,0,0
445,2015-07-04,1,311.7,Rheinland,3,2015-07-07,1870.2,0,316365.6,0,0
132,2015-07-04,1,310.6,Schnellware,2,2015-07-06,1863.6,0,681537.0,1,1
77,2015-07-04,1,310.2,Schnellware,2,2015-07-06,1861.2,0,681537.0,1,1
771,2015-07-04,1,309.6,Schnellware,2,2015-07-06,1857.6,0,681537.0,1,1
655,2015-07-04,1,309.0,Rheinland,3,2015-07-07,1854.0,0,316365.6,0,0
7,2015-07-04,1,308.8,Schnellware,2,2015-07-06,1852.8,0,681537.0,1,1
506,2015-07-04,1,308.3,Schnellware,2,2015-07-06,1849.8,0,681537.0,1,1
80,2015-07-04,1,308.1,Schnellware,2,2015-07-06,1848.6,0,681537.0,1,1
363,2015-07-04,1,308.1,Rheinland,3,2015-07-07,1848.6,0,316365.6,0,0
489,2015-07-04,1,307.5,Rheinland,3,2015-07-07,1845.0,0,316365.6,0,0
673,2015-07-04,1,307.4,Rheinland,3,2015-07-07,1844.4,0,316365.6,0,0
439,2015-07-04,1,306.2,Schnellware,2,2015-07-06,1837.2,0,681537.0,1,1
633,2015-07-04,1,305.6,Schnellware,2,2015-07-06,1833.6,0,681537.0,1,1
179,2015-07-04,1,305.4,Schnellware,2,2015-07-06,1832.4,0,681537.0,1,1
1000,2015-07-04,1,305.0,Rheinland,3,2015-07-07,1830.0,0,316365.6,0,0
378,2015-07-04,1,304.4,Schnellware,2,2015-07-06,1826.4,0,681537.0,1,1
661,2015-07-04,1,304.0,Schnellware,2,2015-07-06,1824.0,0,681537.0,1,1
754,2015-07-04,1,303.1,Rheinland,3,2015-07-07,1818.6,0,316365.6,0,0
1102,2015-07-04,1,302.7,Schnellware,2,2015-07-06,1816.2,0,681537.0,1,1
720,2015-07-04,1,302.0,Schnellware,2,2015-07-06,1812.0,0,681537.0,1,1
377,2015-07-04,1,300.9,Schnellware,2,2015-07-06,1805.4,0,681537.0,1,1
691,2015-07-04,1,299.4,Rheinland,3,2015-07-07,1796.4,0,316365.6,0,0
937,2015-07-04,1,299.3,Schnellware,2,2015-07-06,1795.8,0,681537.0,1,1
382,2015-07-04,1,297.2,Rheinland,3,2015-07-07,1783.2,0,316365.6,0,0
604,2015-07-04,1,297.2,Schnellware,2,2015-07-06,1783.2,0,681537.0,1,1
651,2015-07-04,1,296.9,Rheinland,3,2015-07-07,1781.4,0,316365.6,0,0
742,2015-07-04,1,296.7,Rheinland,3,2015-07-07,1780.2,0,316365.6,0,0
85,2015-07-04,1,296.6,Schnellware,2,2015-07-06,1779.6,0,681537.0,1,1
618,2015-07-04,1,296.6,Schnellware,2,2015-07-06,1779.6,0,681537.0,1,1
458,2015-07-04,1,296.2,Schnellware,2,2015-07-06,1777.2,0,681537.0,1,1
318,2015-07-04,1,296.0,Rheinland,3,2015-07-07,1776.0,0,316365.6,0,0
226,2015-07-04,1,295.7,Rheinland,3,2015-07-07,1774.2,0,316365.6,0,0
677,2015-07-04,1,295.5,Schnellware,2,2015-07-06,1773.0,0,681537.0,1,1
49,2015-07-04,1,295.4,Rheinland,3,2015-07-07,1772.4,0,316365.6,0,0
757,2015-07-04,1,294.8,Schnellware,2,2015-07-06,1768.8,0,681537.0,1,1
81,2015-07-04,1,294.2,Rheinland,3,2015-07-07,1765.2,0,316365.6,0,0
478,2015-07-04,1,293.4,Schnellware,2,2015-07-06,1760.4,0,681537.0,1,1
1113,2015-07-04,1,293.4,Schnellware,2,2015-07-06,1760.4,0,681537.0,1,1
245,2015-07-04,1,293.3,Schnellware,2,2015-07-06,1759.8,0,681537.0,1,1
925,2015-07-04,1,292.7,Schnellware,2,2015-07-06,1756.2,0,681537.0,1,1
122,2015-07-04,1,292.6,Schnellware,2,2015-07-06,1755.6,0,681537.0,1,1
630,2015-07-04,1,292.6,Schnellware,2,2015-07-06,1755.6,0,681537.0,1,1
1011,2015-07-04,1,290.6,Schnellware,2,2015-07-06,1743.6,0,681537.0,1,1
353,2015-07-04,1,290.2,Schnellware,2,2015-07-06,1741.2,0,681537.0,1,1
976,2015-07-04,1,289.8,Schnellware,2,2015-07-06,1738.8,0,681537.0,1,1
740,2015-07-04,1,289.6,Schnellware,2,2015-07-06,1737.6,0,681537.0,1,1
112,2015-07-04,1,288.9,Schnellware,2,2015-07-06,1733.4,0,681537.0,1,1
840,2015-07-04,1,288.8,Schnellware,2,2015-07-06,1732.8,0,681537.0,1,1
271,2015-07-04,1,287.5,Schnellware,2,2015-07-06,1725.0,0,681537.0,1,1
162,2015-07-04,1,287.0,Rheinland,3,2015-07-07,1722.0,0,316365.6,0,0
780,2015-07-04,1,287.0,Rheinland,3,2015-07-07,1722.0,0,316365.6,0,0
97,2015-07-04,1,286.6,Schnellware,2,2015-07-06,1719.6,0,681537.0,1,1
586,2015-07-04,1,285.4,Nordmann,5,2015-07-09,1712.4,0,143394.6,0,0
329,2015-07-04,1,284.8,Schnellware,2,2015-07-06,1708.8,0,681537.0,1,1
294,2015-07-04,1,284.4,Schnellware,2,2015-07-06,1706.4,0,681537.0,1,1
243,2015-07-04,1,284.1,Schnellware,2,2015-07-06,1704.6,0,681537.0,1,1
624,2015-07-04,1,283.6,Rheinland,3,2015-07-07,1701.6,0,316365.6,0,0
654,2015-07-04,1,283.3,Rheinland,3,2015-07-07,1699.8,0,316365.6,0,0
1034,2015-07-04,1,282.7,Schnellware,2,2015-07-06,1696.2,0,681537.0,1,1
139,2015-07-04,1,282.6,Rheinland,3,2015-07-07,1695.6,0,316365.6,0,0
482,2015-07-04,1,282.6,Rheinland,3,2015-07-07,1695.6,0,316365.6,0,0
812,2015-07-04,1,282.5,Rheinland,3,2015-07-07,1695.0,0,316365.6,0,0
304,2015-07-04,1,282.4,Schnellware,2,2015-07-06,1694.4,0,681537.0,1,1
463,2015-07-04,1,281.8,Schnellware,2,2015-07-06,1690.8,0,681537.0,1,1
784,2015-07-04,1,281.6,Rheinland,3,2015-07-07,1689.6,0,316365.6,0,0
634,2015-07-04,1,280.2,Schnellware,2,2015-07-06,1681.2,0,681537.0,1,1
582,2015-07-04,1,279.6,Rheinland,3,2015-07-07,1677.6,0,316365.6,0,0
792,2015-07-04,1,279.6,Schnellware,2,2015-07-06,1677.6,0,681537.0,1,1
692,2015-07-04,1,279.2,Schnellware,2,2015-07-06,1675.2,0,681537.0,1,1
62,2015-07-04,1,279.1,Rheinland,3,2015-07-07,1674.6,0,316365.6,0,0
87,2015-07-04,1,278.8,Schnellware,2,2015-07-06,1672.8,0,681537.0,1,1
756,2015-07-04,1,278.7,Schnellware,2,2015-07-06,1672.2,0,681537.0,1,1
588,2015-07-04,1,278.6,Schnellware,2,2015-07-06,1671.6,0,681537.0,1,1
164,2015-07-04,1,278.2,Schnellware,2,2015-07-06,1669.2,0,681537.0,1,1
847,2015-07-04,1,277.0,Schnellware,2,2015-07-06,1662.0,0,681537.0,1,1
613,2015-07-04,1,276.6,Schnellware,2,2015-07-06,1659.6,0,681537.0,1,1
151,2015-07-04,1,276.3,Rheinland,3,2015-07-07,1657.8,0,316365.6,0,0
600,2015-07-04,1,276.1,Rheinland,3,2015-07-07,1656.6,0,316365.6,0,0
1087,2015-07-04,1,276.0,Schnellware,2,2015-07-06,1656.0,0,681537.0,1,1
101,2015-07-04,1,275.0,Schnellware,2,2015-07-06,1650.0,0,681537.0,1,1
156,2015-07-04,1,274.9,Rheinland,3,2015-07-07,1649.4,0,316365.6,0,0
822,2015-07-04,1,274.2,Rheinland,3,2015-07-07,1645.2,0,316365.6,0,0
359,2015-07-04,1,274.1,Rheinland,3,2015-07-07,1644.6,0,316365.6,0,0
1092,2015-07-04,1,274.1,Schnellware,2,2015-07-06,1644.6,0,681537.0,1,1
119,2015-07-04,1,273.8,Schnellware,2,2015-07-06,1642.8,0,681537.0,1,1
629,2015-07-04,1,273.7,Schnellware,2,2015-07-06,1642.2,0,681537.0,1,1
174,2015-07-04,1,273.6,Schnellware,2,2015-07-06,1641.6,0,681537.0,1,1
187,2015-07-04,1,273.6,Rheinland,3,2015-07-07,1641.6,0,316365.6,0,0
1066,2015-07-04,1,273.3,Schnellware,2,2015-07-06,1639.8,0,681537.0,1,1
209,2015-07-04,1,273.1,Schnellware,2,2015-07-06,1638.6,0,681537.0,1,1
264,2015-07-04,1,272.9,Schnellware,2,2015-07-06,1637.4,0,681537.0,1,1
576,2015-07-04,1,272.8,Schnellware,2,2015-07-06,1636.8,0,681537.0,1,1
102,2015-07-04,1,272.7,Schnellware,2,2015-07-06,1636.2,0,681537.0,1,1
57,2015-07-04,1,272.6,Schnellware,2,2015-07-06,1635.6,0,681537.0,1,1
205,2015-07-04,1,272.4,Schnellware,2,2015-07-06,1634.4,0,681537.0,1,1
823,2015-07-04,1,272.2,Schnellware,2,2015-07-06,1633.2,0,681537.0,1,1
542,2015-07-04,1,272.0,Schnellware,2,2015-07-06,1632.0,0,681537.0,1,1
605,2015-07-04,1,271.6,Rheinland,3,2015-07-07,1629.6,0,316365.6,0,0
895,2015-07-04,1,271.5,Schnellware,2,2015-07-06,1629.0,0,681537.0,1,1
934,2015-07-04,1,271.4,Rheinland,3,2015-07-07,1628.4,0,316365.6,0,0
689,2015-07-04,1,269.6,Rheinland,3,2015-07-07,1617.6,0,316365.6,0,0
979,2015-07-04,1,269.6,Schnellware,2,2015-07-06,1617.6,0,681537.0,1,1
537,2015-07-04,1,269.3,Schnellware,2,2015-07-06,1615.8,0,681537.0,1,1
385,2015-07-04,1,269.0,Schnellware,2,2015-07-06,1614.0,0,681537.0,1,1
578,2015-07-04,1,268.7,Schnellware,2,2015-07-06,1612.2,0,681537.0,1,1
842,2015-07-04,1,268.6,Schnellware,2,2015-07-06,1611.6,0,681537.0,1,1
560,2015-07-04,1,268.1,Nordmann,5,2015-07-09,1608.6,0,143394.6,0,0
905,2015-07-04,1,268.0,Schnellware,2,2015-07-06,1608.0,0,681537.0,1,1
866,2015-07-04,1,267.5,Schnellware,2,2015-07-06,1605.0,0,681537.0,1,1
1084,2015-07-04,1,267.5,Rheinland,3,2015-07-07,1605.0,0,316365.6,0,0
51,2015-07-04,1,267.2,Rheinland,3,2015-07-07,1603.2,0,316365.6,0,0
559,2015-07-04,1,266.2,Schnellware,2,2015-07-06,1597.2,0,681537.0,1,1
10,2015-07-04,1,266.1,Schnellware,2,2015-07-06,1596.6,0,681537.0,1,1
921,2015-07-04,1,265.1,Schnellware,2,2015-07-06,1590.6,0,681537.0,1,1
721,2015-07-04,1,264.1,Schnellware,2,2015-07-06,1584.6,0,681537.0,1,1
153,2015-07-04,1,264.0,Schnellware,2,2015-07-06,1584.0,0,681537.0,1,1
572,2015-07-04,1,263.9,Rheinland,3,2015-07-07,1583.4,0,316365.6,0,0
500,2015-07-04,1,263.7,Schnellware,2,2015-07-06,1582.2,0,681537.0,1,1
88,2015-07-04,1,263.6,Schnellware,2,2015-07-06,1581.6,0,681537.0,1,1
611,2015-07-04,1,263.4,Schnellware,2,2015-07-06,1580.4,0,681537.0,1,1
836,2015-07-04,1,263.3,Schnellware,2,2015-07-06,1579.8,0,681537.0,1,1
553,2015-07-04,1,262.9,Rheinland,3,2015-07-07,1577.4,0,316365.6,0,0
650,2015-07-04,1,261.0,Rheinland,3,2015-07-07,1566.0,0,316365.6,0,0
350,2015-07-04,1,260.9,Rheinland,3,2015-07-07,1565.4,0,316365.6,0,0
277,2015-07-04,1,260.6,Schnellware,2,2015-07-06,1563.6,0,681537.0,1,1
503,2015-07-04,1,260.3,Schnellware,2,2015-07-06,1561.8,0,681537.0,1,1
773,2015-07-04,1,259.0,Schnellware,2,2015-07-06,1554.0,0,681537.0,1,1
612,2015-07-04,1,258.4,Schnellware,2,2015-07-06,1550.4,0,681537.0,1,1
