tarih,tahmin,stok,promo,belirsizlik,karar,miktar,aciliyet,gercek,gerekce
2015-07-02,4531.7,4178.4,1,0.4714,siparis_ver,1500,yuksek,5558.0,"Gereken toplam 5664.6, mevcut stok 4178.4; 1486.2 birim açık var. Promosyon mevcut."
2015-07-03,4841.7,4446.4,1,0.4252,siparis_ver,1600,yuksek,4665.0,"Gereken toplam 6052.1, mevcut stok 4446.4; 1605.7 birim açık var. Promosyon mevcut."
2015-07-04,4459.0,3732.0,0,0.4855,siparis_ver,1400,yuksek,4797.0,"Gereken toplam 5127.9, mevcut stok 3732.0; 1395.9 birim açık var. Promosyon yok."
2015-07-06,3954.4,3837.6,0,0.5177,insana_sor,700,orta,4359.0,"Gereken toplam 4547.6, mevcut stok 3837.6; 710.0 birim açık var. Belirsizlik oranı %51.77 ile aralık geniş, insan onayı gerekmektedir."
2015-07-07,3498.4,3487.2,0,0.5907,insana_sor,550,dusuk,3650.0,"Gereken toplam 4023.2, mevcut stok 3487.2; 536.0 birim açık var. Belirsizlik oranı %59.07 ile aralık geniş, insan onayı gerekmektedir."
2015-07-08,3398.9,2920.0,0,0.589,siparis_ver,1000,yuksek,3797.0,"Gereken toplam 3908.7, mevcut stok 2920.0; 988.7 birim açık var. Promosyon yok."
2015-07-09,3299.8,3037.6,0,0.6131,insana_sor,750,orta,3897.0,"Gereken toplam 3794.8, mevcut stok 3037.6; 757.2 birim açık var. Belirsizlik oranı %61.31 ile aralık geniş, insan onayı gerekmektedir."
2015-07-10,3628.7,3117.6,0,0.5601,siparis_ver,1050,yuksek,3808.0,"Gereken toplam 4173.0, mevcut stok 3117.6; 1055.4 birim açık var. "
2015-07-11,4544.0,3046.4,0,0.4475,siparis_ver,2200,yuksek,3530.0,"Gereken toplam 5225.6, mevcut stok 3046.4; 2179.2 birim açık var."
2015-07-13,5344.9,2824.0,1,0.3935,siparis_ver,3850,yuksek,5054.0,"Gereken toplam 6681.1, mevcut stok 2824.0; 3857.1 birim açık var. Promosyon mevcut."
2015-07-14,4895.6,4043.2,1,0.4232,siparis_ver,2100,yuksek,5042.0,"Gereken toplam 6119.5, mevcut stok 4043.2; 2076.3 birim açık var. Promosyon mevcut."
2015-07-15,4798.6,4033.6,1,0.4398,siparis_ver,1950,yuksek,4767.0,"Gereken toplam 5998.2, mevcut stok 4033.6; 1964.7 birim açık var. Promosyon mevcut."
2015-07-16,4697.8,3813.6,1,0.4543,siparis_ver,2050,yuksek,4427.0,"Gereken toplam 5872.2, mevcut stok 3813.6; 2058.7 birim açık var. Promosyon mevcut."
2015-07-17,5020.4,3541.6,1,0.4038,siparis_ver,2750,yuksek,4852.0,"Gereken toplam 6275.5, mevcut stok 3541.6; 2733.9 birim açık var. Promosyon mevcut."
2015-07-18,4643.6,3881.6,0,0.4415,siparis_ver,1450,yuksek,4406.0,"Gereken toplam 5340.1, mevcut stok 3881.6; 1458.5 birim açık var. "
2015-07-20,4129.3,3524.8,0,0.4857,siparis_ver,1200,yuksek,4395.0,"Gereken toplam 4748.7, mevcut stok 3524.8; 1223.9 birim açık var. Promosyon yok."
2015-07-21,3657.4,3516.0,0,0.5426,insana_sor,700,orta,3558.0,"Gereken toplam 4206.0, mevcut stok 3516.0; 690.0 birim açık var. Belirsizlik oranı %54.26 ile aralık geniş, insan onayı gerekmektedir."
2015-07-22,3534.8,2846.4,0,0.5758,siparis_ver,1200,yuksek,3464.0,"Gereken toplam 4065.0, mevcut stok 2846.4; 1218.6 birim açık var. Promosyon yok."
2015-07-23,3405.7,2771.2,0,0.5948,siparis_ver,1150,yuksek,3769.0,"Gereken toplam 3916.6, mevcut stok 2771.2; 1145.4 birim açık var."
2015-07-24,3698.4,3015.2,0,0.5669,siparis_ver,1250,yuksek,3706.0,"Gereken toplam 4253.2, mevcut stok 3015.2; 1238.0 birim açık var. Promosyon yok."
2015-07-25,4571.9,2964.8,0,0.4547,siparis_ver,2300,yuksek,4364.0,"Gereken toplam 5257.7, mevcut stok 2964.8; 2292.9 birim açık var."
2015-07-27,5480.9,3491.2,1,0.3707,siparis_ver,3350,yuksek,6102.0,"Gereken toplam 6851.1, mevcut stok 3491.2; 3359.9 birim açık var. Promosyon mevcut."
2015-07-28,4979.7,4881.6,1,0.4005,siparis_ver,1350,yuksek,5011.0,"Gereken toplam 6224.6, mevcut stok 4881.6; 1343.0 birim açık var. Promosyon mevcut."
2015-07-29,4830.0,4008.8,1,0.4201,siparis_ver,2050,yuksek,4782.0,"Gereken toplam 6037.5, mevcut stok 4008.8; 2028.7 birim açık var. Promosyon mevcut."
2015-07-30,4676.8,3825.6,1,0.4459,siparis_ver,2000,yuksek,5020.0,"Gereken toplam 5846.0, mevcut stok 3825.6; 2020.4 birim açık var. Promosyon mevcut."
2015-07-31,4948.9,4016.0,1,0.4243,siparis_ver,2150,yuksek,5263.0,"Gereken toplam 6186.1, mevcut stok 4016.0; 2170.1 birim açık var. Promosyon mevcut."
